productId,price,salePrice
601050090,365,
601050091,410,
601050092,860,
601060170,1650,
601060175,1050,
601060180,580,
601060250,390,
601060000,5100,
601060001,399,
601060015,5990,
601060052,370,
601060053,770,
601060050,59,
601062800,4590,
601062801,4590,
601062860,1890,
601062802,1950,
601063300,2450,
591089120,1190,
601063181,3890,
601063301,4300,
601060900,2490,
601060901,3400,
601060710,1990,
601060711,1140,
601060770,480,
601060736,645,
601060735,610,
601060739,140,
601060738,140,
601060703,1200,
601060702,690,
601060701,790,
601060700,1100,
601060733,890,
601060732,830,
601060731,510,
601060742,1480,
601060741,965,
601060743,1035,
601060730,1080,
601060737,1090,
601060744,1250,
601065000,2990,
601065001,7590,
601065002,2290,
601065020,6890,
601065021,3990,
601065040,920,
601065041,920,
601054370,1090,
601054200,1390,
601054230,3600,
601055300,540,
601055301,1120,
601055325,2300,
37002,1050,
601054250,10900,
601055380,1390,
601055381,820,
601055395,540,
601054310,520,
601054300,1850,
601062500,820,
601062510,790,
591095952,640,
591095954,640,
591095956,640,
591095955,640,
591095950,1100,
591095951,1100,
591095948,1100,
591095949,1100,
601062000,7990,
601062001,7990,
601062002,6490,
601062003,6990,
601062004,2950,
601062013,6290,
601062014,6850,
601062010,19900,
601062011,7490,
601062012,10500,
601062015,3490,
601062105,990,
601054500,6800,
601054505,8790,
601054510,9990,
601054601,4700,
601054602,5990,
601054600,5800,
601054680,4500,
601054686,5590,
601054670,4500,
601054695,5590,
601054698,5750,
601054700,6490,
601054702,6490,
601054714,7990,
601054710,7590,
601054711,7590,
601054690,4500,
601055015,7500,
601055018,12900,
601060010,3190,
601060020,2490,
602035030,420,
602039310,3590,
602045090,1560,
602045200,890,
602055100,1450,
602057010,890,
602061320,11900,
602061810,7900,
602081020,850,
602092640,1150,
591095820,7200,
591095830,7200,
591089101,8000,
591080136,310,
591084210,23500,
591084200,26500,
591084205,26200,
591095858,5500,
591095825,5200,
591095835,6900,
591087090,24200,
602048670,2190,
591086236,880000,
603020015,4990,
591086391,67000,
591084055,17500,
603020030,9990,
6030200400,40,
6030200410,350,
6030200510,16990,
6030200251,6000,
6030200505,1990,
591095166,3650,
591095005,3600,
591095004,3600,
591095167,3650,
591095017,3600,
591095030,3450,
591095012,3900,
591095181,3550,
591095193,3900,
591095006,3600,
591095015,3450,
591095007,3450,
591095112,3450,
591095194,3650,
591095020,3450,
591095195,3600,
591095065,3450,
591095177,3450,
591095024,3450,
591095198,3800,
591095023,3450,
591095022,3450,
591095019,3450,
591095016,3450,
591095021,4600,
591095391,3200,
591095008,3450,
591095009,3450,
591095045,3450,
591095035,3450,
591095040,3450,
591095125,3450,
591095018,3450,
591095090,3450,
591095179,3200,
591095107,3450,
591095014,3200,
591095420,4200,
591095190,3450,
591095105,3450,
591095191,3450,
591095135,3400,
591095178,3450,
591095061,3450,
591095100,3550,
591095130,4400,
591095113,3250,
591095419,4350,
591095418,5600,
591095011,4350,
591095186,3200,
591095187,3200,
591095393,4300,
591095025,3400,
6030200420,920,
591095382,4300,
591095387,4500,
591095197,4450,
591095384,4300,
591095185,3600,
591095188,3300,
591095010,3300,
591095388,3300,
591095383,4700,
591095390,5900,
591095386,5900,
591095000,3300,
591095111,3800,
591095394,3200,
591095200,6300,
591095199,4800,
591095055,2700,
591095050,2700,
591095109,3220,
591095395,4800,
591095396,3500,
591095389,4400,
591095399,4400,
591095189,3550,
591095415,4300,
591095416,4300,
591095398,4100,
591095886,3690,
591098604,2400,
591098601,2400,
591098614,2400,
591098616,2400,
591084124,5200,
591084105,3200,
591084084,7800,
591084081,7800,
591084085,9400,
591084086,7500,
591084087,14800,
591084066,7400,
591084067,6500,
591084089,8900,
591084090,8900,
591084061,7200,
591084122,8700,
591096110,14500,
591084062,9900,
591084082,7800,
591084120,10900,
591096111,14500,
591095871,1600,
591095870,1600,
591084091,18000,
591084092,17500,
591084126,9900,
11,6300,
591084131,7900,
591084130,7900,
591097596,490,
591097597,820,
591080149,175,
591080150,175,
591080148,175,
591080166,175,
591080170,175,
591080147,175,
